CD1Var1,CD1Var2,CD1Var3,CD1Var4,CD1Var5,CD1Var6,CD1Var7,CD1Var8,CD1Var9,CD1Var10,CD2Var1,CD2Var2,CD2Var3,CD2Var4,CD2Var5,CD2Var6,CD2Var7,CD2Var8,CD2Var9,CD2Var10,CD3Var1,CD3Var2,CD3Var3,CD3Var4,CD3Var5,CD3Var6,CD3Var7,CD3Var8,CD3Var9,CD3Var10,CD4Var1,CD4Var2,CD4Var3,CD4Var4,CD4Var5,CD4Var6,CD4Var7,CD4Var8,CD4Var9,CD4Var10,CD1Mean1,CD1Mean2,CD1Mean3,CD1Mean4,CD1Mean5,CD1Mean6,CD1Mean7,CD1Mean8,CD1Mean9,CD1Mean10,CD2Mean1,CD2Mean2,CD2Mean3,CD2Mean4,CD2Mean5,CD2Mean6,CD2Mean7,CD2Mean8,CD2Mean9,CD2Mean10,CD3Mean1,CD3Mean2,CD3Mean3,CD3Mean4,CD3Mean5,CD3Mean6,CD3Mean7,CD3Mean8,CD3Mean9,CD3Mean10,CD4Mean1,CD4Mean2,CD4Mean3,CD4Mean4,CD4Mean5,CD4Mean6,CD4Mean7,CD4Mean8,CD4Mean9,CD4Mean10,ApproxMean1,ApproxMean2,ApproxMean3,ApproxMean4,ApproxMean5,ApproxMean6,ApproxMean7,ApproxMean8,ApproxMean9,ApproxMean10,ApproxVar1,ApproxVar2,ApproxVar3,ApproxVar4,ApproxVar5,ApproxVar6,ApproxVar7,ApproxVar8,ApproxVar9,ApproxVar10,MeanSC1,MeanSC2,MeanSC3,MeanSC4,MeanSC5,MeanSC6,MeanSC7,MeanSC8,MeanSC9,MeanSC10,MedianSC1,MedianSC2,MedianSC3,MedianSC4,MedianSC5,MedianSC6,MedianSC7,MedianSC8,MedianSC9,MedianSC10,MAVSC1,MAVSC2,MAVSC3,MAVSC4,MAVSC5,MAVSC6,MAVSC7,MAVSC8,MAVSC9,MAVSC10,SSISC1,SSISC2,SSISC3,SSISC4,SSISC5,SSISC6,SSISC7,SSISC8,SSISC9,SSISC10,RMSSC1,RMSSC2,RMSSC3,RMSSC4,RMSSC5,RMSSC6,RMSSC7,RMSSC8,RMSSC9,RMSSC10,VarSC1,VarSC2,VarSC3,VarSC4,VarSC5,VarSC6,VarSC7,VarSC8,VarSC9,VarSC10,KurtSC1,KurtSC2,KurtSC3,KurtSC4,KurtSC5,KurtSC6,KurtSC7,KurtSC8,KurtSC9,KurtSC10,SkwSC1,SkwSC2,SkwSC3,SkwSC4,SkwSC5,SkwSC6,SkwSC7,SkwSC8,SkwSC9,SkwSC10,MaxFreqSC1,MaxFreqSC2,MaxFreqSC3,MaxFreqSC4,MaxFreqSC5,MaxFreqSC6,MaxFreqSC7,MaxFreqSC8,MaxFreqSC9,MaxFreqSC10,STDPSDSC1,STDPSDSC2,STDPSDSC3,STDPSDSC4,STDPSDSC5,STDPSDSC6,STDPSDSC7,STDPSDSC8,STDPSDSC9,STDPSDSC10,FirstEstimation,Label1
0.11188476,0.11886074,0.082616782,0.12755983,0.12596586,0.093680263,0.090861254,0.073214292,0.091538769,0.073714776,0.13470552,0.11926665,0.14863347,0.11198849,0.12478353,0.11468779,0.11918813,0.11758469,0.098851835,0.1022633,0.1316086,0.14386464,0.15654026,0.11242531,0.13774084,0.12409997,0.10819601,0.1677064,0.11760705,0.12799645,0.14175821,0.14988035,0.14358851,0.14434204,0.1816772,0.14600897,0.11933914,0.17497566,0.16548029,0.13358807,0.48114778,0.45538456,0.4712546,0.50054262,0.58363701,0.5193987,0.49487837,0.68270557,0.49356988,0.53129976,0.50052906,0.51193824,0.49468107,0.44841798,0.53603826,0.59772246,0.52752348,0.46974437,0.51441042,0.44369496,0.48417415,0.5024108,0.48843369,0.54547498,0.50836777,0.55506749,0.52299055,0.41512715,0.48362008,0.49054027,0.35194097,0.34475721,0.50152124,0.5130147,0.51679548,0.44922511,0.50355826,0.47512684,0.62153901,0.6164611,0.34946992,0.29948644,0.34686788,0.4054484,0.3599684,0.32304612,0.62062932,0.28726863,0.42200209,0.39610347,0.031214593,0.032052335,0.081572096,0.028535144,0.07581893,0.026774442,0.027265867,0.060329571,0.049727441,0.06134065,0.49824172,0.46072803,0.39854654,0.47701828,0.44254617,0.43316004,0.52924307,0.44012377,0.60479678,0.52820394,0.48598671,0.44404079,0.38160165,0.47371458,0.44381402,0.41292083,0.52611937,0.42119459,0.62974969,0.53221455,1.0539008,0.99008898,0.91558885,0.69925353,0.82254517,0.70226608,0.57016318,0.61423517,0.54851471,0.46733168,3864.5549,3334.9009,2663.88,2019.7058,1965.4089,1893.5362,1417.6272,1197.2717,1090.4082,923.52779,1.9426733,1.8046438,1.6128997,1.4044105,1.3854041,1.3598369,1.1766059,1.0813004,1.0319166,0.949675,0.031218698,0.03492252,0.036783433,0.024432122,0.049688269,0.027897176,0.02405737,0.044620596,0.046143167,0.025265954,3.5884633,3.2857555,3.1826023,5.0995725,2.2903635,4.5384676,5.274557,2.6575236,3.5682454,4.8071012,-0.028704248,0.34687965,0.59194029,0.006249076,0.28828669,0.72836161,-0.28739035,0.34166675,-0.85580538,-0.48653206,0.14648438,0.14648438,0.14648438,0.14648438,0.12207031,0.14648438,0.14648438,0.29296875,0.14648438,0.1953125,0.047627871,0.054645635,0.050881786,0.059013744,0.064696818,0.041616544,0.043339104,0.056110851,0.04952892,0.055529412,9,9
0.065375062,0.11747653,0.090244093,0.059029921,0.098841177,0.080055022,0.048789141,0.067417699,0.078844503,0.065658035,0.12196572,0.13267319,0.1588324,0.12696722,0.13609264,0.098501201,0.10004079,0.12304546,0.10470426,0.13980944,0.11417594,0.11873203,0.18159271,0.14466686,0.16584454,0.11308587,0.10871838,0.18696247,0.11206883,0.10606271,0.11746072,0.14725017,0.16969707,0.1155248,0.17002996,0.14467878,0.11423108,0.16827715,0.14858603,0.14108342,0.26285197,0.4550308,0.35769249,0.21534888,0.44792576,0.59246618,0.16776319,0.29689691,0.37965713,0.22647643,0.47101174,0.56608801,0.5229372,0.51243885,0.45062292,0.51870307,0.48721952,0.49171387,0.4939997,0.49543566,0.59700066,0.63676525,0.49301585,0.6208336,0.56006322,0.54625744,0.62108636,0.50832661,0.40753172,0.4668241,0.41145961,0.42709423,0.47235334,0.57346063,0.47523861,0.50006356,0.48231594,0.46240579,0.66152944,0.57170525,0.35571857,0.30167925,0.3022536,0.34519375,0.35095924,0.26100231,0.42768023,0.2766541,0.41558379,0.37530297,0.032010552,0.030025834,0.069568923,0.025371696,0.069906714,0.031325888,0.017313978,0.041121469,0.045940722,0.055590587,0.43240923,0.43001843,0.56364938,0.53175939,0.58017186,0.45567049,0.56515396,0.71948397,0.59799914,0.47186186,0.42981207,0.4208122,0.56797309,0.54394288,0.59622395,0.42354236,0.5798929,0.73443364,0.61346813,0.48049436,1.1687086,0.87669895,1.1112839,0.96899554,0.92961425,0.65196256,0.8276533,0.8869315,0.56242276,0.48807113,4957.7267,2593.6663,4368.1965,4863.9988,2897.7348,1441.1924,3849.1499,3864.9361,1099.6242,946.75668,2.2003477,1.5915016,2.0653854,2.1794492,1.6822066,1.186345,1.9387974,1.9427691,1.0362682,0.96154411,0.02923379,0.037775991,0.029920701,0.020853072,0.036601349,0.038481917,0.020330244,0.024846266,0.045866618,0.03068579,4.2379465,3.1284928,4.1458322,6.5620018,3.3955478,3.2005869,7.2980035,9.9111112,3.285339,3.8267696,0.23708369,0.27106681,-0.3858576,-0.47531536,-0.3132551,0.43905077,-0.81148563,-2.1101633,-0.69931226,-0.081634444,0.14648438,0.12207031,0.09765625,0.14648438,0.26855469,0.14648438,0.14648438,0.29296875,0.14648438,0.24414063,0.051979002,0.063672812,0.074925468,0.061222256,0.069285064,0.050666276,0.045016073,0.069609253,0.065011214,0.06978738,9,9
0.050199764,0.062515938,0.095876061,0.057370384,0.12757496,0.077222183,0.048990732,0.10788501,0.053402893,0.047523508,0.11438056,0.12513889,0.14859199,0.13735678,0.1263645,0.10906296,0.11989172,0.11369189,0.10005073,0.10308983,0.11657688,0.10653906,0.15647759,0.11554232,0.15223706,0.10344313,0.10841475,0.1733518,0.11767887,0.12529809,0.12672087,0.12991044,0.17672023,0.11191636,0.16454791,0.13393362,0.12142478,0.16199517,0.13511685,0.14470204,0.79090424,0.72666679,0.3871051,0.78607759,0.58243237,0.59755579,0.79688035,0.5055294,0.72510275,0.72002925,0.56705049,0.56455312,0.49351555,0.53451877,0.53663355,0.59808901,0.56806664,0.46774304,0.51866485,0.43825704,0.40393447,0.53694735,0.48863419,0.37400703,0.3524371,0.62039343,0.38172213,0.50535365,0.54778421,0.42318814,0.56489503,0.58845535,0.45380035,0.60212392,0.46398745,0.52759386,0.50502099,0.4264224,0.62950627,0.55131925,0.34477589,0.29763815,0.30216468,0.39423078,0.34961971,0.27362065,0.67028351,0.32731165,0.4046649,0.36312313,0.028623366,0.030068917,0.075029079,0.028205032,0.06473385,0.031315945,0.033911145,0.046564135,0.041610229,0.049882944,0.47903938,0.46325498,0.42306173,0.49220796,0.43713862,0.38380403,0.3908129,0.50802108,0.52973929,0.50802985,0.47956201,0.4370055,0.40615657,0.48758858,0.44087826,0.35703052,0.37984972,0.48591687,0.5466848,0.50388723,1.0328413,0.93576018,0.86723511,0.6802042,0.78640492,0.61646656,0.58167031,0.54947644,0.63022759,0.54079281,3642.2508,2811.7264,2551.7931,1949.0348,1916.9098,1254.7079,1552.1321,909.89929,1452.8865,1353.6263,1.8859707,1.6570536,1.5786024,1.3796211,1.368204,1.106933,1.2311596,0.94264178,1.1911484,1.1497394,0.037429007,0.042692895,0.03421858,0.028989164,0.047837887,0.03713929,0.02081804,0.047883561,0.030432621,0.02122583,3.3611118,2.7514644,3.48622,4.6393616,2.4141841,3.3962606,6.9465317,2.4397547,3.9531237,5.9014556,0.1092531,0.23219528,0.61116962,0.26614157,0.25677691,0.5069388,1.2232622,0.27119625,-0.55610626,-0.15824252,0.14648438,0.29296875,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.29296875,0.14648438,0.1953125,0.051536069,0.072608813,0.052852559,0.048011253,0.057810161,0.054261874,0.054330328,0.065090925,0.068736593,0.050773397,9,9
0.10505799,0.11099896,0.090778084,0.11606883,0.1287715,0.093732526,0.12324309,0.10836279,0.092729033,0.094299193,0.13133781,0.11460594,0.12718856,0.11146033,0.12677189,0.091380814,0.096129586,0.11660603,0.10045869,0.12775769,0.15850562,0.1149509,0.13385825,0.1173321,0.12056257,0.1165791,0.13174005,0.13270467,0.12348254,0.12887496,0.18018108,0.12343319,0.16126893,0.15445299,0.18192291,0.14179914,0.14193074,0.17879281,0.13225489,0.15566843,0.45875357,0.4362913,0.43842911,0.50301596,0.58227075,0.5522447,0.54989096,0.50126325,0.4677901,0.35905415,0.54913748,0.46562965,0.62419751,0.52804356,0.48910411,0.51753925,0.38038388,0.48544403,0.50196595,0.4973386,0.31713051,0.4448917,0.47267824,0.49626003,0.42298248,0.5590796,0.49401387,0.44932178,0.43134642,0.44919525,0.49094323,0.46060905,0.61077745,0.45853715,0.50329846,0.46070656,0.41378412,0.43347927,0.47301088,0.36215912,0.33224495,0.29510666,0.40591371,0.39460409,0.33458638,0.27391639,0.68150438,0.3169834,0.40675522,0.35646772,0.028308757,0.02988678,0.047474269,0.024645742,0.059531117,0.031730467,0.02679113,0.041063187,0.039872942,0.045277385,0.46815049,0.41495265,0.41159319,0.45317656,0.43438058,0.36249619,0.38196272,0.47535408,0.61156665,0.55536406,0.47254407,0.40019973,0.3778122,0.45488534,0.43276658,0.34435948,0.376215,0.45174803,0.63963981,0.56155397,1.0045302,0.90111211,0.90284536,0.64217387,0.76901331,0.60663075,0.48170542,0.56821249,0.56549138,0.45659735,3496.9605,2714.5258,2649.0839,1792.7825,1879,1266.9504,943.20979,997.88503,1110.4399,844.17306,1.847972,1.6281597,1.6084141,1.3231645,1.3546073,1.1123202,0.95974127,0.9871662,1.041352,0.90795801,0.027718654,0.036761575,0.036599356,0.022645608,0.047120514,0.033536881,0.028755629,0.04072002,0.048458527,0.028848447,3.9627048,3.2139459,3.3424001,5.7228946,2.508043,4.0027205,5.1093905,2.7937055,3.4122834,4.3139492,0.05684073,0.37008674,0.66836709,0.25084406,0.36370668,0.74691771,0.7365456,0.21982112,-0.81185038,-0.595537,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.1953125,0.050568103,0.062980076,0.048192651,0.05551602,0.072334078,0.042501797,0.044854235,0.064042273,0.054666192,0.05111959,9,9
0.066068444,0.11421843,0.099209103,0.064007606,0.12855717,0.09385164,0.063656082,0.11007634,0.09699991,0.096453962,0.12807227,0.12901338,0.1554006,0.11342631,0.12628044,0.11751976,0.11252262,0.14355195,0.091328353,0.096232429,0.15378657,0.14386486,0.1606121,0.14763299,0.13579667,0.11565647,0.12980732,0.18777811,0.12362987,0.13454119,0.15504632,0.17874022,0.19069956,0.13489848,0.18301312,0.14324848,0.15488422,0.19805151,0.14324978,0.13086995,0.26393861,0.448999,0.38811454,0.26310031,0.58353635,0.55284747,0.26973332,0.50188457,0.4368559,0.36206904,0.50823303,0.5390721,0.49491425,0.58342884,0.53603167,0.53162702,0.62632979,0.51885792,0.52656345,0.48812072,0.46758381,0.54247412,0.48866293,0.63657585,0.50888679,0.55951126,0.58290805,0.51946466,0.42942855,0.43133578,0.50061591,0.51954891,0.52659951,0.49458575,0.50991876,0.58271744,0.50602872,0.51544812,0.38866253,0.35079784,0.30722809,0.28664628,0.35707968,0.40264705,0.31347682,0.27458102,0.70449165,0.33643464,0.39123943,0.33627747,0.029839072,0.030159098,0.049301342,0.0246326,0.053921435,0.029326115,0.022585003,0.03421564,0.035562458,0.039478634,0.62152642,0.57697098,0.41069607,0.63981055,0.42985777,0.54304768,0.57478967,0.51761346,0.50922264,0.48643454,0.62638958,0.572457,0.39804033,0.65046676,0.41882235,0.52996592,0.58042456,0.49291097,0.53710217,0.49438712,1.0286027,0.9555965,0.94346051,0.68453504,0.77221567,0.609347,0.49862769,0.56669273,0.5733082,0.47068008,4261.4691,3343.7214,2818.3094,2570.16,1934.3889,1318.7109,1144.1976,948.37302,1147.6366,896.1923,2.0399978,1.8070287,1.6589922,1.5842733,1.3744277,1.1348143,1.0570622,0.96236455,1.0586495,0.93551472,0.020021231,0.023985274,0.037885792,0.016846429,0.048505556,0.024776552,0.018956724,0.049100178,0.035972279,0.024946937,7.6235199,4.9628872,3.0153574,11.253236,2.5243078,4.3934513,7.3036783,2.3769976,3.5113789,4.6215309,-1.2222892,-0.50316968,0.4950699,-1.8572242,0.37293313,-0.15815513,-0.78185218,0.27079364,-0.5653503,-0.11857019,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.29296875,0.14648438,0.1953125,0.046576926,0.059263942,0.059801059,0.050380731,0.064791305,0.043791704,0.044653896,0.063089894,0.058236142,0.054420445,9,9
0.075059862,0.093200758,0.10302953,0.11691788,0.12157544,0.09091321,0.11938047,0.11253985,0.095498123,0.097061924,0.12900288,0.13086928,0.13482668,0.12028792,0.1430646,0.090535957,0.13141256,0.12308956,0.12899128,0.13752471,0.14176553,0.12539074,0.17130432,0.16235622,0.16234303,0.12982109,0.15179547,0.17533253,0.10017562,0.11714577,0.18753246,0.1771938,0.17360423,0.12771061,0.16767003,0.1368624,0.14926265,0.19242479,0.12652142,0.15821993,0.62550466,0.5695064,0.38938499,0.4976228,0.53937768,0.55092785,0.55918078,0.51230411,0.44054571,0.37207794,0.55598363,0.56054045,0.41724465,0.55620423,0.42579817,0.51991477,0.58179656,0.49287838,0.49170633,0.5056386,0.61660167,0.62863536,0.45259903,0.46259642,0.5648185,0.55783718,0.58766667,0.54228584,0.44882479,0.38253868,0.52522507,0.50598533,0.52830728,0.54625027,0.49799498,0.61175729,0.50309642,0.53406407,0.44677841,0.38426735,0.32081165,0.26991445,0.38283573,0.39193708,0.31387772,0.23012922,0.50540059,0.39307049,0.40705119,0.37357487,0.027723392,0.029346617,0.05145849,0.02349722,0.054229382,0.026516264,0.046129873,0.044907924,0.035076025,0.038792084,0.34773431,0.31241335,0.41693812,0.40129024,0.48006665,0.27572401,0.3614009,0.53253146,0.68539607,0.64113379,0.33092489,0.27524842,0.37404024,0.39486907,0.46583699,0.23988153,0.34881976,0.51565433,0.73708449,0.67394068,1.2207241,1.1513539,0.92857835,0.66522176,0.80060965,0.7519796,0.43299487,0.52833239,0.60380589,0.48071729,6795.6637,5664.392,2736.3807,2113.2044,2068.9815,2785.7841,746.66009,847.1449,1278.5295,913.48862,2.5761192,2.3519423,1.6347008,1.4365501,1.4214393,1.6493915,0.8539088,0.90955481,1.1173916,0.9444992,0.022157523,0.0249312,0.036985873,0.021461797,0.037602501,0.023163884,0.032828509,0.049107161,0.050645387,0.033772762,8.4917952,8.0032352,3.2709859,7.4022981,2.955287,10.470023,4.7773407,2.4564479,3.7494871,4.6605969,1.5486961,1.6494297,0.68683339,1.0348606,0.23437898,2.2212379,0.81022022,0.17962733,-1.0426266,-1.1078888,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.29296875,0.14648438,0.1953125,0.057815219,0.065469604,0.049245891,0.048405714,0.054950053,0.05156454,0.052010177,0.058430301,0.057704336,0.053160598,9,9
0.080913019,0.10946811,0.077583161,0.097795735,0.12177103,0.096343499,0.092012186,0.11506008,0.10014359,0.089939009,0.12693752,0.13888906,0.11246038,0.11083751,0.12687031,0.13225293,0.11189309,0.11826435,0.093812769,0.11981782,0.12220582,0.12749353,0.11804682,0.11532342,0.14718663,0.10747395,0.13711791,0.18148464,0.11607912,0.14284645,0.16266984,0.19104885,0.13933988,0.14317545,0.18806302,0.1064688,0.15838963,0.20702698,0.13288329,0.14340074,0.59030816,0.49841663,0.57524595,0.59085907,0.53924377,0.61220632,0.66852073,0.5154824,0.49723805,0.3925315,0.52100769,0.52508879,0.69215695,0.58403123,0.54298328,0.60447704,0.63322745,0.48025194,0.68716179,0.57486135,0.47399808,0.5024004,0.65258173,0.50544511,0.3807323,0.50580361,0.51327213,0.5260782,0.39619761,0.41279389,0.5161345,0.58741549,0.64127519,0.56240521,0.5605608,0.53461952,0.4964195,0.46043034,0.38073455,0.52307441,0.28422326,0.28822159,0.38727491,0.38055136,0.28580238,0.35617781,0.52224578,0.37097465,0.47720028,0.47944424,0.027145632,0.030388375,0.047119069,0.02093611,0.045626128,0.034240578,0.034417932,0.040043175,0.03651275,0.042605215,0.55482989,0.55991504,0.43364165,0.48744247,0.41804553,0.46669152,0.4452752,0.51661734,0.65717541,0.6240374,0.55763626,0.53358215,0.40174432,0.48771186,0.39647744,0.42884955,0.45971116,0.49945293,0.69851438,0.64819245,0.80624885,0.87284945,0.92049665,0.48558169,0.76131692,0.57902568,0.36281717,0.50508679,0.51653883,0.38961101,1977.5731,2209.672,2707.9726,792.34839,1862.754,1024.9072,463.74628,748.96455,907.32427,551.27126,1.3896848,1.4689734,1.6261932,0.87964636,1.3487385,1.0004429,0.67296153,0.85522552,0.941307,0.73372395,0.058070003,0.055146031,0.036794204,0.030647454,0.043793897,0.05322419,0.031967272,0.048842105,0.041875491,0.039518041,2.3215648,2.2436996,3.2235452,3.6626419,2.7911295,2.4231121,3.8623104,2.3736787,3.9862017,3.9279832,-0.20248263,0.056383208,0.61480066,0.023486665,0.44477143,0.35569868,0.034886058,0.19746686,-0.98735876,-0.81076971,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.1953125,0.040744927,0.055230894,0.04706949,0.048687619,0.055425235,0.037761026,0.039977084,0.056752116,0.048892798,0.050950233,9,9
0.085639346,0.11740925,0.11175545,0.1133246,0.098166706,0.055364378,0.12105317,0.078095925,0.088588265,0.087704636,0.13982332,0.13037661,0.16462944,0.12979231,0.12345841,0.10953216,0.11757104,0.11878035,0.10505615,0.11708234,0.16262843,0.1325683,0.17535163,0.13136999,0.14335744,0.12926898,0.14613365,0.1371835,0.14420799,0.18341992,0.22770117,0.20789904,0.16905759,0.18335586,0.1252266,0.19210397,0.16271187,0.13786213,0.10927046,0.1331569,0.38352931,0.450531,0.3681188,0.51393903,0.43306375,0.35683778,0.55662695,0.68571421,0.45438335,0.39941196,0.41394028,0.59987264,0.51290417,0.4490166,0.3510967,0.49809416,0.53092789,0.55622772,0.41881387,0.58456188,0.54026264,0.45156547,0.50581472,0.65788788,0.34905827,0.5506235,0.4998421,0.5137786,0.53282969,0.42118985,0.51847704,0.53764101,0.58748379,0.54916939,0.5053204,0.50836125,0.37177981,0.48524701,0.38419902,0.51534138,0.33887433,0.47941372,0.38556285,0.57968273,0.31363945,0.39768579,0.56626559,0.38604583,0.41226498,0.42104404,0.03005434,0.058216406,0.03810737,0.034443909,0.045488694,0.038568206,0.049270536,0.032662225,0.028497869,0.034919258,0.51695065,0.54697959,0.41718021,0.50837564,0.42734386,0.49428257,0.42866356,0.38621046,0.61052962,0.55234043,0.52651112,0.52957647,0.40680523,0.51865441,0.4213509,0.4815878,0.44090266,0.37373581,0.63826311,0.57522132,0.84640588,0.79879827,0.95558949,0.49348946,0.71319514,0.54472903,0.39616009,0.5974322,0.50957192,0.36785985,2122.7782,1979.3743,2842.1629,778.58481,1705.1362,908.2456,537.84699,1468.3993,882.15817,497.26094,1.4398005,1.3903175,1.6659981,0.8719729,1.2904155,0.94178479,0.72473526,1.1974906,0.92816087,0.69685464,0.062278376,0.04930647,0.039918233,0.032665314,0.038593773,0.048406396,0.032773335,0.02188624,0.041415528,0.036834591,2.1463233,2.5007017,3.0236763,3.4043678,3.0411251,2.5268619,3.7247635,6.9218248,3.3900463,3.5868332,-0.004773112,0.14601957,0.40323808,-0.13193018,0.51185781,0.1500049,0.35427095,1.1146471,-0.72801213,-0.60791494,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.1953125,0.054336422,0.077757838,0.056574186,0.048189417,0.0536807,0.046682989,0.04229566,0.058553957,0.047189798,0.051037747,9,9
0.11462389,0.11453342,0.10867943,0.11721896,0.11728362,0.10071955,0.11926008,0.12158345,0.077609721,0.09326546,0.1341429,0.13756023,0.16246745,0.12077588,0.13207895,0.1380136,0.14151884,0.14521649,0.1281669,0.12369477,0.15900054,0.15478645,0.16601117,0.14578476,0.14758794,0.11473149,0.19540195,0.16574001,0.14790285,0.15314869,0.19695565,0.20613606,0.16772253,0.18229144,0.1650175,0.17288558,0.17100864,0.19079,0.17302253,0.21350032,0.50774494,0.44294827,0.35852265,0.51375481,0.54131409,0.54392393,0.58604288,0.49579496,0.43139764,0.36770792,0.48297524,0.52378961,0.5275737,0.47408613,0.48845476,0.51463671,0.50801196,0.48000886,0.57087186,0.57075516,0.50134305,0.54984345,0.52728937,0.53266117,0.57151328,0.54525288,0.47623904,0.58145831,0.56816083,0.40456597,0.53928353,0.52637897,0.54181672,0.54331422,0.50798865,0.51089719,0.48523547,0.50734497,0.46166158,0.44389471,0.50235204,0.50094958,0.46887863,0.57413161,0.28965286,0.51630007,0.57531945,0.53572786,0.56152164,0.5625342,0.052531711,0.060485076,0.041861665,0.03308004,0.028519401,0.057797739,0.055110931,0.051928495,0.036398592,0.047618525,0.50997373,0.54426866,0.4109257,0.52047862,0.53768048,0.47655921,0.48433918,0.50530779,0.64971067,0.6051113,0.4985922,0.51906053,0.39039947,0.52481434,0.54097125,0.45717491,0.50178612,0.49249356,0.68258063,0.62161794,0.74805505,0.82775835,0.87968777,0.48246306,0.74329481,0.52539488,0.34561025,0.48165942,0.50173805,0.35235687,1639.8829,2068.2597,2581.7477,762.99466,2088.3153,840.02741,374.77114,683.43703,891.50239,461.17608,1.2654834,1.4211914,1.5878407,0.86319868,1.4280653,0.90572582,0.60496896,0.81695714,0.93306367,0.67109408,0.060169382,0.051670159,0.035762651,0.033993965,0.027818479,0.045703263,0.045179201,0.0428684,0.039326853,0.037604831,2.1686198,2.4406882,3.5383825,3.3904341,4.357688,2.5541218,2.6957448,2.428986,4.2151157,4.101102,0.12778277,0.15958024,0.53869099,-0.11780379,-0.18777223,0.25910976,-0.073023209,0.08410844,-0.97318084,-0.74872877,0.14648438,0.21972656,0.14648438,0.14648438,0.14648438,0.14648438,0.14648438,0.29296875,0.14648438,0.1953125,0.043220699,0.055477817,0.065633032,0.052834204,0.061378234,0.037414587,0.040936341,0.061254697,0.049570054,0.055651966,9,9
0.096433961,0.13163808,0.13215467,0.10723594,0.14896799,0.12662118,0.09301356,0.1217509,0.091313654,0.12087636,0.10608998,0.12861414,0.17672154,0.12358194,0.14532252,0.10374839,0.17864046,0.1642977,0.14875182,0.15575223,0.12325005,0.16888646,0.17948016,0.1623866,0.16027246,0.18972066,0.16514765,0.19867313,0.14310852,0.1577674,0.13965136,0.20443566,0.17276765,0.17423962,0.16412046,0.18103805,0.17743868,0.18153225,0.16320255,0.24910506,0.38315082,0.5064586,0.44846696,0.35897188,0.50370795,0.50407286,0.32099324,0.52798327,0.34406473,0.51515935,0.31578853,0.59458679,0.50938121,0.44307791,0.44486806,0.56560277,0.4926566,0.49345655,0.4891613,0.48961891,0.3496043,0.44636566,0.53184542,0.49029364,0.564565,0.47342855,0.53907714,0.52610701,0.56757083,0.48019936,0.3913138,0.48089059,0.49339537,0.56819101,0.53271278,0.56612461,0.49808064,0.4506821,0.43435005,0.53981671,0.4973851,0.48781636,0.39217259,0.56847504,0.42741874,0.49309819,0.61354909,0.51408023,0.52922743,0.51078604,0.053867492,0.05704687,0.051020654,0.032531227,0.035359392,0.057149992,0.044249339,0.047267429,0.031279159,0.041264585,0.49213715,0.50955764,0.41251267,0.62366223,0.38885733,0.50289422,0.52160936,0.5485653,0.6382902,0.57820353,0.45588371,0.47534821,0.41241617,0.64082397,0.38217568,0.49258958,0.54632256,0.54718457,0.66666627,0.59848079,0.75850363,0.91591573,0.79594418,0.53897009,0.60637601,0.56018715,0.36684051,0.48877329,0.48437457,0.35020154,1721.3315,2388.3678,2308.1107,1294.536,1315.4726,875.90278,489.11635,723.99419,818.72267,439.49694,1.2965292,1.5272166,1.5013375,1.1243644,1.1334202,0.92486421,0.69112422,0.84084813,0.89416657,0.6551307,0.058852947,0.054866455,0.031892505,0.022939666,0.034976777,0.057949122,0.031079797,0.039172609,0.042886124,0.040626408,2.3792133,2.2255309,4.0680437,7.5115417,3.7398357,2.1109477,3.8481787,2.7377917,3.7753902,3.5957034,0.20717638,0.21305646,0.66302324,-1.3316607,0.6305311,0.078254778,-0.3701164,-0.022921781,-0.8161797,-0.61139619,0.14648438,0.14648438,0.14648438,0.14648438,0.29296875,0.14648438,0.14648438,0.29296875,0.14648438,0.17089844,0.043671042,0.057611247,0.061362896,0.054789114,0.069771783,0.036948799,0.038026341,0.068363383,0.053319875,0.054075705,9,9
