CD1Var1,CD1Var2,CD1Var3,CD1Var4,CD1Var5,CD1Var6,CD1Var7,CD1Var8,CD1Var9,CD1Var10,CD2Var1,CD2Var2,CD2Var3,CD2Var4,CD2Var5,CD2Var6,CD2Var7,CD2Var8,CD2Var9,CD2Var10,CD3Var1,CD3Var2,CD3Var3,CD3Var4,CD3Var5,CD3Var6,CD3Var7,CD3Var8,CD3Var9,CD3Var10,CD4Var1,CD4Var2,CD4Var3,CD4Var4,CD4Var5,CD4Var6,CD4Var7,CD4Var8,CD4Var9,CD4Var10,CD1Mean1,CD1Mean2,CD1Mean3,CD1Mean4,CD1Mean5,CD1Mean6,CD1Mean7,CD1Mean8,CD1Mean9,CD1Mean10,CD2Mean1,CD2Mean2,CD2Mean3,CD2Mean4,CD2Mean5,CD2Mean6,CD2Mean7,CD2Mean8,CD2Mean9,CD2Mean10,CD3Mean1,CD3Mean2,CD3Mean3,CD3Mean4,CD3Mean5,CD3Mean6,CD3Mean7,CD3Mean8,CD3Mean9,CD3Mean10,CD4Mean1,CD4Mean2,CD4Mean3,CD4Mean4,CD4Mean5,CD4Mean6,CD4Mean7,CD4Mean8,CD4Mean9,CD4Mean10,ApproxMean1,ApproxMean2,ApproxMean3,ApproxMean4,ApproxMean5,ApproxMean6,ApproxMean7,ApproxMean8,ApproxMean9,ApproxMean10,ApproxVar1,ApproxVar2,ApproxVar3,ApproxVar4,ApproxVar5,ApproxVar6,ApproxVar7,ApproxVar8,ApproxVar9,ApproxVar10,MeanSC1,MeanSC2,MeanSC3,MeanSC4,MeanSC5,MeanSC6,MeanSC7,MeanSC8,MeanSC9,MeanSC10,MedianSC1,MedianSC2,MedianSC3,MedianSC4,MedianSC5,MedianSC6,MedianSC7,MedianSC8,MedianSC9,MedianSC10,MAVSC1,MAVSC2,MAVSC3,MAVSC4,MAVSC5,MAVSC6,MAVSC7,MAVSC8,MAVSC9,MAVSC10,SSISC1,SSISC2,SSISC3,SSISC4,SSISC5,SSISC6,SSISC7,SSISC8,SSISC9,SSISC10,RMSSC1,RMSSC2,RMSSC3,RMSSC4,RMSSC5,RMSSC6,RMSSC7,RMSSC8,RMSSC9,RMSSC10,VarSC1,VarSC2,VarSC3,VarSC4,VarSC5,VarSC6,VarSC7,VarSC8,VarSC9,VarSC10,KurtSC1,KurtSC2,KurtSC3,KurtSC4,KurtSC5,KurtSC6,KurtSC7,KurtSC8,KurtSC9,KurtSC10,SkwSC1,SkwSC2,SkwSC3,SkwSC4,SkwSC5,SkwSC6,SkwSC7,SkwSC8,SkwSC9,SkwSC10,MaxFreqSC1,MaxFreqSC2,MaxFreqSC3,MaxFreqSC4,MaxFreqSC5,MaxFreqSC6,MaxFreqSC7,MaxFreqSC8,MaxFreqSC9,MaxFreqSC10,STDPSDSC1,STDPSDSC2,STDPSDSC3,STDPSDSC4,STDPSDSC5,STDPSDSC6,STDPSDSC7,STDPSDSC8,STDPSDSC9,STDPSDSC10,FirstEstimation,Label1
0.05858342,0.07060383,0.05538077,0.09283094,0.1034875,0.06380982,0.08099731,0.08095554,0.1412433,0.07353537,0.1159416,0.0936183,0.08289534,0.1492249,0.1181528,0.08942514,0.1095763,0.1074867,0.1422685,0.0901775,0.1282401,0.1232467,0.1302399,0.1447573,0.1730437,0.1292836,0.1501929,0.1642668,0.1441822,0.1356371,0.1104066,0.1234676,0.131666,0.1314736,0.1723582,0.135032,0.1437651,0.1565998,0.1710423,0.1407277,0.2985997,0.7057034,0.2222513,0.3913572,0.469836,0.2153421,0.6682936,0.6802231,0.4550857,0.6634136,0.5147979,0.5446982,0.6565772,0.5324196,0.637902,0.6363803,0.5288081,0.5133129,0.5519979,0.4746296,0.4256558,0.5711841,0.5514469,0.5712485,0.4895926,0.5716409,0.5256565,0.5270178,0.5565194,0.5212092,0.5590934,0.6022236,0.671728,0.5676036,0.5160335,0.7046213,0.5677899,0.5925014,0.5026969,0.4419861,0.2998126,0.6213285,0.3299035,0.3032249,0.3501805,0.3809707,0.6591274,0.7313331,0.3200748,0.4530115,0.03176346,0.0461445,0.03713355,0.03170692,0.03695103,0.04081011,0.02843245,0.02159348,0.03506017,0.05346388,0.6670834,0.2872157,0.6541686,0.6795502,0.6399101,0.6533728,0.2951833,0.3087796,0.6663391,0.3000289,0.6874537,0.2588133,0.6769256,0.6932991,0.6621748,0.6835697,0.2630339,0.2929326,0.6790724,0.2424576,0.5298584,0.4921347,0.5255262,0.4930493,0.492885,0.4826733,0.4514559,0.4035291,0.4421377,0.4224448,831.3937,779.604,773.9693,736.5751,677.4697,663.3393,648.7542,633.4272,580.442,571.7605,0.9010593,0.8725434,0.8693845,0.8481224,0.8133827,0.8048555,0.7959579,0.7864993,0.7528863,0.7472348,0.04395808,0.04053478,0.05236238,0.04167722,0.0542435,0.05217932,0.03834131,0.02657133,0.04703127,0.04480806,3.147281,4.237629,2.470049,3.489777,2.432808,2.535514,4.257348,7.386233,3.00953,3.609719,-0.5853123,0.9852024,-0.3949778,-0.6649039,-0.3810199,-0.491164,1.029881,1.523206,-0.4989693,0.9567595,0.1464844,0.1464844,0.1220703,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03973774,0.05537418,0.06738827,0.04007052,0.04763313,0.04034679,0.05410588,0.0392833,0.04103786,0.0385336,9,9
0.09414087,0.1234378,0.09946827,0.1335454,0.1024787,0.1144455,0.1208629,0.1203898,0.1519268,0.1021566,0.1241999,0.1331571,0.1235191,0.1559573,0.1584285,0.1367039,0.1250436,0.142834,0.1462341,0.1383983,0.1232137,0.09607689,0.1340065,0.1929679,0.1517168,0.1175324,0.1066686,0.1142184,0.1697375,0.1337287,0.1546302,0.1267857,0.1806562,0.1681273,0.2049119,0.1766222,0.1668124,0.1535753,0.2049903,0.1490146,0.3984013,0.4485976,0.4251019,0.507076,0.4655037,0.3847132,0.4818639,0.5178786,0.4511108,0.5142774,0.4782035,0.5834772,0.4509003,0.5823702,0.5080716,0.5115418,0.5574302,0.415687,0.5329829,0.6093441,0.353869,0.5912334,0.5129388,0.4835546,0.5730114,0.4893915,0.6216335,0.5332197,0.5350427,0.4762394,0.5583675,0.5305606,0.4895424,0.5474634,0.4898049,0.4051645,0.5595966,0.5118233,0.4758576,0.4884712,0.5157283,0.5441138,0.4991241,0.5112747,0.5100316,0.4989806,0.4392145,0.5525001,0.5068188,0.4420815,0.07256422,0.06305908,0.07002356,0.07038634,0.06532595,0.06084236,0.0633692,0.04316619,0.06886063,0.05208558,0.4594294,0.460843,0.51567,0.4617662,0.5086336,0.5544336,0.47835,0.4973079,0.4699302,0.4158214,0.4663856,0.4338095,0.529473,0.4640974,0.5255966,0.5744615,0.4400503,0.4971482,0.4381054,0.3803227,0.4472804,0.4230567,0.449811,0.4014701,0.4439892,0.4027609,0.3853349,0.3144888,0.376659,0.3847279,542.0973,489.6232,539.8278,441.8517,517.3289,445.6065,417.1077,268.6798,395.5147,430.8659,0.7275932,0.6914822,0.7260686,0.6568834,0.710777,0.6596686,0.6382255,0.5122329,0.621486,0.6486659,0.06600979,0.06357904,0.07595129,0.06413937,0.08225898,0.07319754,0.06378666,0.05590385,0.06280824,0.05719244,1.944376,2.074754,1.830907,1.976052,1.73373,1.990575,2.163568,1.995552,2.063693,2.349737,0.08668481,0.3229207,-0.06980804,0.1052626,-0.04044358,-0.2402586,0.353466,0.09377574,0.2152119,0.467524,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03538072,0.03753219,0.04529925,0.03512429,0.03998467,0.03482851,0.0405294,0.03478694,0.03503481,0.03446392,9,9
0.1090483,0.08573234,0.1143287,0.1385952,0.1495922,0.1201739,0.09299771,0.0819884,0.1507894,0.1516035,0.1191012,0.1015483,0.11368,0.1794419,0.1759603,0.1135545,0.1057341,0.1170715,0.1499486,0.1382815,0.1331887,0.1162211,0.1107512,0.1781794,0.1735093,0.1411322,0.127305,0.1419039,0.1696049,0.1470175,0.1779017,0.1360248,0.195133,0.1822375,0.1666382,0.1571849,0.1520259,0.1484122,0.2228735,0.1371166,0.4907937,0.7129438,0.4899165,0.4679131,0.5297764,0.4228309,0.6371583,0.7133169,0.4283735,0.479572,0.4641958,0.6862243,0.4083473,0.4381559,0.5286257,0.4709912,0.5882421,0.549356,0.475026,0.4951187,0.4944771,0.6046438,0.4686005,0.4360435,0.5058305,0.4212419,0.6179567,0.4001222,0.5273448,0.4849992,0.3976648,0.4068501,0.5318913,0.4787192,0.5323059,0.3395226,0.4872295,0.4706898,0.4687321,0.4548778,0.5236651,0.526787,0.4971796,0.5072414,0.5095736,0.4895095,0.5261021,0.7167344,0.5120539,0.4682414,0.07328253,0.05911582,0.07235124,0.06929772,0.06265941,0.06336176,0.04600895,0.0274463,0.07020341,0.04791324,0.4729978,0.4609696,0.523476,0.4620802,0.4978124,0.5475457,0.4786342,0.3383317,0.4762105,0.403188,0.4753415,0.4358964,0.527516,0.4665851,0.5006036,0.5615158,0.4612105,0.3192127,0.4702288,0.3771484,0.4359998,0.4053129,0.4270947,0.4072098,0.4057918,0.3956188,0.3808256,0.3392064,0.3623384,0.3777993,519.6177,462.3922,504.5069,451.3903,442.7966,434.4175,418.6059,360.0146,382.8214,417.1416,0.7123477,0.6719784,0.7019135,0.6639359,0.6575854,0.6513339,0.6393706,0.5929391,0.6114319,0.6382514,0.07142687,0.06069532,0.07620828,0.06686476,0.07853271,0.07401395,0.06222658,0.03332986,0.06208351,0.05639259,1.892062,2.132898,1.905815,1.88773,1.813197,2.000447,2.148626,4.070504,2.116521,2.448021,0.04325794,0.2724181,-0.09646693,0.08993651,0.01562309,-0.2555365,0.2615273,0.7683985,0.1411863,0.5356523,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.0361366,0.04078499,0.06360387,0.03681499,0.03666124,0.03534342,0.04197706,0.03577257,0.03524602,0.03545659,9,9
0.1203895,0.1460143,0.1137869,0.1465474,0.1464198,0.1379364,0.1569973,0.125427,0.1488437,0.1399596,0.1172222,0.1316295,0.1288263,0.1719718,0.1614496,0.1509541,0.1654605,0.1320569,0.139912,0.1166054,0.1519674,0.1262568,0.1441782,0.1457801,0.1788703,0.1496266,0.1453256,0.1488648,0.1323395,0.124086,0.1589267,0.1352857,0.1634259,0.1815464,0.1729297,0.1520141,0.130212,0.1422438,0.2066203,0.1397323,0.5819124,0.479806,0.5450154,0.4187465,0.5279924,0.4941173,0.5390702,0.4568816,0.4260874,0.4528269,0.5101692,0.6280446,0.5251709,0.4899985,0.470078,0.4643086,0.4639688,0.4283274,0.5247506,0.5393892,0.5457854,0.6067403,0.4971119,0.5018915,0.468157,0.4834093,0.4839733,0.3999215,0.6397915,0.4956969,0.4396609,0.3877953,0.5642003,0.4774393,0.5584749,0.4230421,0.446781,0.4640406,0.432661,0.5490696,0.5179003,0.4742857,0.5183901,0.4869383,0.4923655,0.50991,0.4150159,0.6409668,0.4977026,0.4551014,0.07986773,0.06050284,0.06998578,0.07231033,0.06828935,0.06181697,0.06354277,0.03774942,0.07255791,0.05167554,0.4807445,0.4329451,0.5156122,0.453002,0.5042965,0.5473716,0.4802858,0.6588567,0.469111,0.3943727,0.5085616,0.395637,0.5219793,0.4478527,0.5325771,0.5703946,0.4414548,0.6539408,0.4691043,0.364973,0.434691,0.4081129,0.4288766,0.3957969,0.4087007,0.4037423,0.4184287,0.3663108,0.3786755,0.4014347,522.8171,470.7178,506.8924,437.2777,455.5509,444.0929,468.4052,430.0758,399.7225,451.8432,0.7145373,0.678001,0.703571,0.6534746,0.6669887,0.6585472,0.6763334,0.6480709,0.6247832,0.6642689,0.06901909,0.06210436,0.07642218,0.06547973,0.07701355,0.07931788,0.07375528,0.03436392,0.06428024,0.06095273,1.951048,2.149283,1.896462,1.973113,1.876382,1.910157,1.926109,4.27659,1.998522,2.19622,-0.06428,0.3178799,-0.1091502,0.05076752,-0.09637206,-0.2479676,0.2539587,-0.7796388,0.1006274,0.4344967,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03679037,0.03909086,0.0521819,0.0359822,0.03711381,0.03616131,0.03789152,0.03628418,0.03554204,0.03694437,9,9
0.1154831,0.1428542,0.08185496,0.1188263,0.1585153,0.1140744,0.1552903,0.1625718,0.1103436,0.08760057,0.1184826,0.1210802,0.1109885,0.1720119,0.1735171,0.1162377,0.1324001,0.1437835,0.1478568,0.1335,0.1311243,0.1397016,0.1610747,0.1729713,0.1718527,0.1388052,0.1434519,0.1857043,0.1251106,0.1431405,0.1645234,0.1402431,0.1859219,0.1654177,0.1811175,0.2060562,0.1364954,0.1341154,0.1540357,0.1778384,0.5779648,0.4693516,0.7310137,0.5740796,0.4837995,0.6115732,0.5360923,0.5528756,0.6635235,0.6919152,0.4819806,0.5077546,0.4068018,0.4514212,0.4932181,0.4369823,0.4177646,0.4847315,0.4688595,0.5039051,0.6411928,0.5226104,0.468697,0.579935,0.5266313,0.6393047,0.5333946,0.5103821,0.530951,0.5481992,0.4287382,0.4821255,0.5135454,0.48445,0.5101858,0.4589901,0.461776,0.4836754,0.377446,0.472145,0.5126902,0.4386664,0.4949411,0.4825479,0.4810785,0.4940597,0.4981527,0.5017341,0.479617,0.4944035,0.08213884,0.06083219,0.07393767,0.07088468,0.07206005,0.06930997,0.04633162,0.05469894,0.07510396,0.04391477,0.4564279,0.4229055,0.5086042,0.4282303,0.4786205,0.5443091,0.4731772,0.5486659,0.4664085,0.387151,0.4691846,0.3891172,0.5454137,0.4274693,0.4999927,0.6000027,0.4382489,0.5246596,0.4516585,0.3402487,0.4483546,0.4180029,0.4483103,0.4213646,0.4031788,0.4071595,0.3852725,0.3055824,0.4202405,0.4479308,551.1498,488.0412,546.0139,473.6867,445.7431,459.7941,419.9655,254.515,470.1116,564.4731,0.7336431,0.6903642,0.7302169,0.6801358,0.6597696,0.6700878,0.6404082,0.4985477,0.6775643,0.7424575,0.06899027,0.06332051,0.07652546,0.06902203,0.07422853,0.07583974,0.06840988,0.0730856,0.06950846,0.06708317,1.940147,2.130452,1.907643,1.884912,1.922251,2.041411,2.102339,1.914702,1.833317,2.171856,-0.03272201,0.3095037,-0.1994964,0.03362989,-0.05815477,-0.3341459,0.313036,0.01326638,0.04548796,0.4820977,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03555536,0.03715478,0.04052917,0.03427272,0.03650635,0.03512097,0.04058385,0.03493038,0.03427245,0.03535953,9,9
0.1189195,0.1424793,0.1559477,0.1489766,0.1572925,0.1389935,0.1543158,0.1533627,0.154968,0.1693103,0.1660447,0.1667816,0.1433111,0.1765456,0.1574273,0.1783768,0.1718381,0.127062,0.1420219,0.1430802,0.1357199,0.1348285,0.1761244,0.1939756,0.1841898,0.1390917,0.1206261,0.1575333,0.1594812,0.1603113,0.1520137,0.1447991,0.1711531,0.1327641,0.1701193,0.1831317,0.1393229,0.1707414,0.1766773,0.1827532,0.6134569,0.4520716,0.5473759,0.4487648,0.4848498,0.5200364,0.5359317,0.5280746,0.5583578,0.4850091,0.5633352,0.5351926,0.4757463,0.4417873,0.4698812,0.5000347,0.4398409,0.4271942,0.4970604,0.540348,0.5132883,0.4829968,0.4255417,0.5098093,0.4565607,0.5069615,0.4779688,0.48703,0.542017,0.5023309,0.5699746,0.6059969,0.5624774,0.5390576,0.4383731,0.5553695,0.5526305,0.5464399,0.6527365,0.5210872,0.4968445,0.4303084,0.4822437,0.4897273,0.4731688,0.4857993,0.4075938,0.4952317,0.4740847,0.3726708,0.07893379,0.0637476,0.07245625,0.06731851,0.07410387,0.06876798,0.06402276,0.05711875,0.07238982,0.0617892,0.4567623,0.4264806,0.5006189,0.4212764,0.4692671,0.5525235,0.4762785,0.5506676,0.4584752,0.3839723,0.454086,0.4106441,0.5157441,0.4184109,0.4651002,0.5902081,0.4576519,0.5356703,0.4482422,0.3541474,0.4526759,0.3963806,0.4388423,0.4089238,0.3996229,0.4162945,0.3836957,0.2924526,0.4117783,0.3916743,562.6069,471.3132,537.1207,460.0107,441.5088,477.901,428.0846,245.0405,463.4105,450.6616,0.7412292,0.6784297,0.7242458,0.6702456,0.6566285,0.6831546,0.6465689,0.4891803,0.6727179,0.6633997,0.06851815,0.0571604,0.07305102,0.06773185,0.07055056,0.07471031,0.06738062,0.06984686,0.0677404,0.05641074,1.933423,2.351995,1.937713,1.952123,1.929278,2.001878,2.133257,2.077477,1.909373,2.41727,-0.0406159,0.263678,-0.1530926,0.0786858,0.07862479,-0.3456525,0.2757229,-0.02610094,0.08682904,0.4818284,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03519607,0.03599243,0.04128627,0.03451667,0.03585212,0.03504343,0.03632788,0.03534511,0.03481064,0.03784901,9,9
0.1465575,0.1621408,0.1183088,0.1552964,0.1555599,0.1348925,0.1539699,0.1244989,0.1729536,0.1677324,0.1289329,0.1463069,0.1202669,0.1666878,0.1769012,0.1177124,0.1506919,0.149172,0.1457428,0.1529061,0.1516267,0.1780723,0.151328,0.1826253,0.1796401,0.1431484,0.1600044,0.1667173,0.1651737,0.1567693,0.1310506,0.1330201,0.1728104,0.148281,0.1813535,0.1321922,0.1405731,0.1696948,0.1721682,0.1553956,0.4866289,0.50709,0.6138975,0.4726159,0.4852018,0.4285558,0.5394383,0.6219445,0.508035,0.490717,0.385907,0.5684348,0.4805842,0.4441265,0.5024982,0.4571565,0.4935344,0.504453,0.4696907,0.6024658,0.3929573,0.5007364,0.467802,0.5218939,0.5203514,0.3078224,0.4241073,0.4395449,0.546855,0.5425518,0.4791208,0.5604484,0.4377993,0.5448011,0.4905755,0.3966041,0.4690418,0.5715558,0.6351808,0.5007221,0.4907141,0.4376821,0.4920025,0.4767266,0.4700475,0.490709,0.4102005,0.4702383,0.4685878,0.3870299,0.08005801,0.06450774,0.07592963,0.06485706,0.06805007,0.06947307,0.06472146,0.05401139,0.06699876,0.06394668,0.4386844,0.4238375,0.4948943,0.409525,0.486355,0.5387066,0.4744367,0.3918318,0.4377042,0.3818413,0.4434319,0.4180786,0.5110115,0.4046877,0.5010031,0.5672653,0.460694,0.3787541,0.4181297,0.3509051,0.4441489,0.3936066,0.4331474,0.4060668,0.4021894,0.4009174,0.3790552,0.3288804,0.3936725,0.3850564,549.0655,467.2253,526.0796,458.9297,444.4127,451.4932,424.2962,328.2949,428.4107,449.6906,0.7322546,0.6754811,0.7167633,0.6694576,0.6587843,0.6640116,0.6437016,0.566216,0.6468151,0.6626847,0.07259746,0.0573572,0.07523946,0.07086792,0.07128238,0.07798753,0.0667259,0.04293203,0.06675677,0.05578537,1.920871,2.384124,1.898213,1.955119,1.887584,1.959664,2.18038,2.750808,1.968643,2.500441,0.08841256,0.2810203,-0.09405899,0.2054411,-0.007852933,-0.2396119,0.2911239,0.3486537,0.276458,0.5398658,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03612322,0.03624048,0.04180937,0.03553773,0.03641304,0.03577084,0.03604677,0.03571146,0.03571259,0.03581726,9,9
0.1240425,0.1016355,0.09773361,0.1089431,0.1410387,0.1520261,0.152671,0.1169231,0.09469882,0.1128607,0.108211,0.1300038,0.09469723,0.1076272,0.1249997,0.1489415,0.1556546,0.1282536,0.1162113,0.1433146,0.1139822,0.1161244,0.106973,0.1106441,0.1361571,0.1894981,0.194261,0.1664934,0.1230404,0.1383189,0.1218291,0.1160397,0.1065665,0.09789065,0.1182273,0.2180574,0.1837896,0.1598202,0.1193836,0.1526642,0.6357179,0.6947639,0.686934,0.6022921,0.5396797,0.4791663,0.5412373,0.6808067,0.4184913,0.6648832,0.6906311,0.6791084,0.689434,0.7046457,0.5874769,0.4348742,0.4466277,0.4267691,0.5791337,0.542428,0.6631974,0.5746413,0.7319144,0.7348428,0.598311,0.532366,0.511182,0.4799072,0.6681511,0.4855017,0.6553532,0.5820321,0.6107029,0.5993208,0.585321,0.5099099,0.5642744,0.561292,0.5966122,0.4887028,0.4858284,0.4541016,0.4999163,0.4962105,0.4717481,0.5003757,0.4185933,0.4585936,0.4710319,0.397864,0.07753486,0.06992657,0.07522776,0.06806834,0.06679352,0.06688146,0.06786861,0.04729715,0.06519358,0.06526825,0.4602178,0.449534,0.502856,0.4146794,0.5106742,0.5373437,0.4519824,0.5539239,0.4332006,0.3990095,0.4743687,0.4428272,0.53457,0.4138863,0.5246765,0.5879052,0.4393806,0.5596657,0.4122888,0.3683875,0.4655942,0.4244347,0.4585635,0.4167786,0.4309451,0.4177049,0.3963035,0.2983028,0.4140998,0.4043882,576.3792,509.6271,556.3616,470.2216,485.9961,463.7911,450.059,254.5516,454.1923,473.1142,0.7502468,0.7054663,0.7371037,0.6776435,0.6889162,0.6729941,0.6629561,0.4985835,0.6659934,0.6797247,0.07242881,0.05738372,0.08042893,0.07222632,0.07057826,0.08481075,0.07079376,0.07384174,0.07166275,0.05708444,1.810094,2.196593,1.767572,1.87273,1.768188,1.805805,2.086688,2.063626,1.842779,2.312203,0.01597497,0.2379825,-0.1381819,0.1693789,-0.05289316,-0.2665709,0.3309122,-0.05852255,0.269336,0.4928287,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03524354,0.03500794,0.03645061,0.03417105,0.03565354,0.03461827,0.03487001,0.03494999,0.03417047,0.03562166,9,9
0.1163624,0.1237944,0.08934103,0.1582647,0.08615277,0.1585974,0.1400596,0.1561581,0.1709588,0.16131,0.1231653,0.1590878,0.1298163,0.1500942,0.1116208,0.1368385,0.1565553,0.1459668,0.1562018,0.1502914,0.128958,0.1554718,0.1544021,0.156457,0.1073146,0.176186,0.1583468,0.1924151,0.1771171,0.1691505,0.1293719,0.1492706,0.1820534,0.158929,0.1060282,0.2146423,0.2032282,0.2041271,0.1973263,0.1791922,0.4629278,0.3884511,0.4431669,0.4727303,0.4487189,0.4965492,0.492657,0.5514034,0.5198009,0.5120555,0.5042895,0.6043396,0.5190942,0.4958602,0.6988534,0.5861498,0.5113063,0.5087616,0.4293713,0.5914572,0.602304,0.5626629,0.4568054,0.6073312,0.6748422,0.4952672,0.5337521,0.4642328,0.4857334,0.5086426,0.606684,0.5901653,0.5696576,0.6392961,0.6312672,0.4756017,0.5866354,0.4871074,0.447783,0.5648092,0.4865181,0.4381211,0.4321894,0.4930767,0.3709347,0.5061808,0.3970359,0.3962522,0.4799275,0.4020504,0.07932509,0.06947197,0.05682379,0.06780442,0.04275157,0.06980532,0.06354159,0.03635807,0.06453831,0.06412637,0.46193,0.494175,0.4991943,0.4219798,0.5445813,0.5300043,0.5034841,0.5935714,0.4383273,0.4092903,0.4716088,0.4965274,0.5181712,0.4205647,0.5603511,0.5645379,0.5072725,0.6127691,0.438317,0.3703729,0.4789241,0.4787341,0.4710767,0.426559,0.4590558,0.4187777,0.4526194,0.347751,0.394872,0.4200139,613.5534,646.6972,594.0469,488.8497,581.9251,470.2114,593.8853,364.7408,425.6851,498.0443,0.7740628,0.7946951,0.7616586,0.6909358,0.7538476,0.6776362,0.7615551,0.5968184,0.6447543,0.6974033,0.0727179,0.05641166,0.08158248,0.07087898,0.06199445,0.08548555,0.04878402,0.04820272,0.06767308,0.05692968,1.809793,2.139077,1.757134,1.85724,2.040277,1.799494,2.329153,2.535167,1.939112,2.241878,0.06218078,0.1191858,-0.09456063,0.1733695,-0.07819849,-0.2373955,0.1395199,-0.3213955,0.1896904,0.4699901,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03480814,0.03494094,0.03632236,0.03530442,0.03499184,0.03364829,0.0344653,0.03391633,0.0337043,0.03401605,9,9
0.1260575,0.137497,0.1129852,0.1571888,0.1562264,0.1157086,0.1204288,0.1194971,0.1693873,0.1457153,0.1654443,0.164378,0.1480436,0.1866391,0.154244,0.1757971,0.1705297,0.142154,0.1337758,0.1370905,0.1886378,0.1860506,0.1882936,0.2139886,0.1713168,0.1855218,0.1637792,0.1869337,0.1762174,0.1883721,0.1719333,0.1811592,0.2086609,0.1867592,0.1540544,0.2016476,0.2214566,0.1829261,0.2174205,0.1769768,0.5092024,0.4366422,0.5724971,0.4724478,0.4871198,0.3581059,0.3374259,0.4159368,0.5214467,0.4660689,0.4327008,0.5738699,0.503435,0.4724511,0.4706559,0.474636,0.4974787,0.3632418,0.4834546,0.5416363,0.4704393,0.462518,0.4776985,0.4613209,0.5530863,0.4360632,0.4523781,0.4729192,0.5668185,0.4801684,0.4513268,0.5152416,0.5613063,0.5266989,0.6252863,0.5218818,0.5358483,0.5515012,0.465477,0.6296734,0.4870373,0.4686808,0.5028168,0.478893,0.4880418,0.4900258,0.4155805,0.5276199,0.4916414,0.4040742,0.07930647,0.08267657,0.07140735,0.06846273,0.06408038,0.06523271,0.06857168,0.06073231,0.07023783,0.06693788,0.4661515,0.4490681,0.5054414,0.4293191,0.5199282,0.5614486,0.5296683,0.5940292,0.4346722,0.4875897,0.4582589,0.4346931,0.5127427,0.4191554,0.5090085,0.5847641,0.5262079,0.6058561,0.4214694,0.4682284,0.4604982,0.4530999,0.4367305,0.4062444,0.4017314,0.4223212,0.4319704,0.322738,0.3985011,0.4531863,566.7381,571.2853,516.9641,453.0462,442.1164,484.3375,539.9876,304.1682,431.928,583.2714,0.7439457,0.7469242,0.7105264,0.6651526,0.6570801,0.6877396,0.726176,0.545013,0.6494649,0.7547192,0.06995243,0.06391816,0.07407934,0.06774931,0.06332127,0.07689611,0.05401531,0.06792817,0.06929303,0.04943232,1.8227,2.026947,1.827806,1.939114,1.921495,1.836784,2.232537,2.128609,1.898834,2.275712,0.07078316,0.1799806,-0.118459,0.1599041,-0.05855776,-0.2772623,0.08363914,-0.1987482,0.2290713,0.2851975,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.1464844,0.03500273,0.03598251,0.03725933,0.03425732,0.0359173,0.03391943,0.0353193,0.03435296,0.03418679,0.03417447,9,9
