MeanSC11,MeanSC12,MeanSC13,MeanSC14,MeanSC15,MeanSC16,MeanSC17,MeanSC18,MeanSC19,MeanSC20,MedianSC11,MedianSC12,MedianSC13,MedianSC14,MedianSC15,MedianSC16,MedianSC17,MedianSC18,MedianSC19,MedianSC20,MAVSC11,MAVSC12,MAVSC13,MAVSC14,MAVSC15,MAVSC16,MAVSC17,MAVSC18,MAVSC19,MAVSC20,SSISC11,SSISC12,SSISC13,SSISC14,SSISC15,SSISC16,SSISC17,SSISC18,SSISC19,SSISC20,RMSSC11,RMSSC12,RMSSC13,RMSSC14,RMSSC15,RMSSC16,RMSSC17,RMSSC18,RMSSC19,RMSSC20,VarSC11,VarSC12,VarSC13,VarSC14,VarSC15,VarSC16,VarSC17,VarSC18,VarSC19,VarSC20,KurtSC11,KurtSC12,KurtSC13,KurtSC14,KurtSC15,KurtSC16,KurtSC17,KurtSC18,KurtSC19,KurtSC20,SkwSC11,SkwSC12,SkwSC13,SkwSC14,SkwSC15,SkwSC16,SkwSC17,SkwSC18,SkwSC19,SkwSC20,Label1
0.86243425,0.88665068,0.87162787,0.86524722,0.89434435,0.89144101,0.89091444,0.88493885,0.87200622,0.87335694,0.86979968,0.89471687,0.8806299,0.87254438,0.90303635,0.90131167,0.89971242,0.89078881,0.87755541,0.88040386,0.39931618,0.39881605,0.37819769,0.35866933,0.37691436,0.35012367,0.31019584,0.29566561,0.30093708,0.29007924,1111.1902,828.04009,799.40894,779.44226,668.22488,637.45093,481.13953,477.25358,390.41547,382.73161,1.05413,0.90996708,0.89409672,0.88286027,0.81745023,0.79840524,0.69364222,0.69083543,0.62483235,0.61865306,0.004762149,0.006103388,0.005487775,0.005334839,0.006156626,0.006490933,0.007021011,0.006225988,0.006251033,0.007003077,94.375676,70.793933,80.143804,82.184578,70.923979,64.896921,57.797411,70.028059,63.891134,54.067791,-8.6222511,-7.2075981,-7.7752711,-7.9354177,-7.1970578,-6.8857994,-6.4113025,-7.2424587,-6.6366352,-6.0888322,1
0.81619614,0.6909675,0.69092203,0.78537666,0.65634479,0.77241533,0.59987281,0.56064849,0.60367156,0.77015704,0.82945189,0.70254976,0.69919647,0.79381315,0.67054638,0.78135892,0.60882553,0.564365,0.61118822,0.77488287,0.53187073,0.50533023,0.49647145,0.51611389,0.49241217,0.45334559,0.43394042,0.39694179,0.3348933,0.30854518,1061.1997,1025.0507,997.53335,960.10042,809.35006,730.19661,494.69045,370.95485,293.60169,241.00347,1.0301455,1.0124479,0.99876592,0.97984714,0.89963885,0.85451542,0.70334234,0.60906063,0.54185025,0.49092105,0.005913784,0.004444939,0.003792556,0.004861703,0.004903379,0.004887271,0.004234441,0.004549606,0.004362914,0.006354717,53.158058,49.523184,61.153998,60.208579,36.685261,57.147282,29.826123,21.570667,29.339784,33.202361,-5.8396738,-5.4078614,-6.0087762,-6.103752,-4.3802999,-5.8487364,-3.141337,-2.1061268,-2.9985776,-3.6656206,1
0.8439003,0.88521321,0.89352459,0.81701,0.79627047,0.89373909,0.78351604,0.86538559,0.79005927,0.77588903,0.85803301,0.89725431,0.90360744,0.83066869,0.80734267,0.90838124,0.79210149,0.87855171,0.7976156,0.78326225,0.48532612,0.46077333,0.43287419,0.43645717,0.45239919,0.36550131,0.35177828,0.34073798,0.30573005,0.29167878,812.1665,790.32395,753.39612,699.94167,634.34299,553.61767,475.42476,427.34379,368.33382,345.96465,0.90165374,0.88944649,0.86841826,0.83704379,0.79685505,0.74442719,0.68985554,0.65404248,0.6072088,0.58848191,0.00799758,0.007862257,0.007625161,0.007016211,0.00723256,0.00788891,0.005739844,0.008200737,0.005443037,0.005272351,34.3419,41.063276,46.827761,37.568562,31.638137,46.120521,43.75558,38.545527,50.181435,48.883017,-4.6251794,-5.1086944,-5.5547989,-4.8220918,-4.1408829,-5.5732548,-5.0157447,-4.9736986,-5.4468629,-5.2665746,1
0.32344847,0.31543173,0.26668269,0.70282965,0.26373162,0.63738317,0.63514867,0.23695794,0.3254997,0.64121432,0.32072114,0.31857742,0.27191371,0.70388129,0.26416632,0.63394684,0.6381886,0.23682707,0.32785684,0.64161659,0.49593692,0.46180392,0.49035824,0.44933552,0.51635578,0.50312665,0.50306089,0.47120262,0.46102583,0.40902264,587.88261,585.09325,565.34997,549.62653,549.46103,508.05274,478.43627,466.77728,448.8221,343.91131,0.76711869,0.76529663,0.75227381,0.74173898,0.74162729,0.71313484,0.69203698,0.68355287,0.67027709,0.58673296,0.003138227,0.003016471,0.003454757,0.005933679,0.004086667,0.007695171,0.010935338,0.003875009,0.003561319,0.008195227,31.625795,34.976783,32.487913,27.287411,25.056966,12.762983,8.6343412,29.832636,23.882248,11.429167,1.4543499,1.6474105,2.0302729,-3.0300582,1.6579137,-1.4799136,-1.0865128,2.1501746,1.1065213,-1.2908801,1
0.79601321,0.74184017,0.73174173,0.78406157,0.70500268,0.68321125,0.62331336,0.76352219,0.62796149,0.62040592,0.80529435,0.75687022,0.7430701,0.79361147,0.72179489,0.69188621,0.64135663,0.77059446,0.63867349,0.63236392,0.6448535,0.70956711,0.68217309,0.56867777,0.6714506,0.70779068,0.64803161,0.51620968,0.56575902,0.55971579,1475.9362,1206.8314,1149.3842,1090.2842,1023.0823,1002.4738,818.99232,771.8635,663.83983,632.39007,1.2148812,1.0985588,1.0720934,1.0441667,1.0114753,1.0012361,0.90498195,0.87855763,0.81476366,0.79522957,0.008025872,0.012748487,0.011308425,0.007353011,0.013962663,0.013642128,0.016509488,0.008501975,0.014795398,0.013937183,37.459739,15.668274,16.690597,37.681068,12.199575,9.4229439,6.5213812,29.230061,7.1165043,7.56977,-4.7477079,-2.4438372,-2.4712761,-4.6971489,-2.0077755,-1.4357657,-1.1300639,-3.8602389,-0.96104031,-0.98287446,1
0.73281704,0.65290798,0.70933689,0.57092611,0.41574134,0.68648467,0.76297436,0.69502382,0.77531044,0.638297,0.74115875,0.65121285,0.71261571,0.56845095,0.41443117,0.69355156,0.7712857,0.70293695,0.7899847,0.64487286,0.95758415,0.85553366,0.54513916,0.78236469,0.76792605,0.75343411,0.5278067,0.52117119,0.52544161,0.62224632,1680.3719,1493.3814,1347.6862,1038.9553,1016.5911,970.34062,841.88644,789.22414,758.09975,756.43792,1.3041401,1.2294388,1.1679276,1.0254629,1.014366,0.99102277,0.92309901,0.89376163,0.87596087,0.87500024,0.012191446,0.007530585,0.00646888,0.023858165,0.015351215,0.016655196,0.006905421,0.007540686,0.007681265,0.00769391,8.4225661,13.373834,40.545495,3.912234,4.7090957,5.3982952,32.043049,26.56113,29.93325,13.147738,-1.3058599,-1.4493541,-4.8241194,-0.36170515,0.21823839,-0.79706411,-3.9902775,-3.4238539,-3.9925177,-1.6546375,1
0.71236835,0.7257674,0.68169789,0.63998874,0.67740729,0.6533594,0.68197636,0.70142227,0.71075906,0.70677345,0.71260096,0.7278041,0.681444,0.64164393,0.67039605,0.65441244,0.68058424,0.70149129,0.71579294,0.71024357,0.71587344,0.67277516,0.71991607,0.60806362,0.63749064,0.52750005,0.5475408,0.4815838,0.43567525,0.42271365,1013.541,988.26318,965.1057,793.69335,714.94871,617.15083,547.85873,449.03647,374.18981,360.30421,1.0072515,0.9946117,0.9828895,0.89134047,0.84596949,0.78598257,0.74054517,0.67043714,0.61201665,0.60055381,0.008451112,0.007853618,0.011530311,0.010365823,0.012427518,0.011710193,0.012008178,0.010977057,0.011619937,0.010749389,14.223749,17.322866,7.6019419,8.8416791,6.8225403,8.9762346,7.5375522,9.2398306,9.4712571,10.590332,-1.5180964,-1.8226019,-0.72466951,-0.83552588,-0.55909176,-0.96698435,-0.81133953,-1.0982645,-1.215772,-1.3368755,1
0.52860889,0.60148184,0.78715228,0.76796589,0.73485496,0.65213612,0.68691565,0.77825817,0.74181064,0.76252656,0.53542447,0.60819334,0.80037854,0.78249473,0.74835305,0.65623226,0.70024797,0.79336146,0.75825332,0.78692658,0.66975755,0.64627348,0.68425589,0.70889241,0.58740564,0.55609862,0.50188761,0.4506285,0.42349771,0.43089183,1162.788,1091.0372,1089.9894,1039.6624,786.38198,783.22438,691.97633,554.95724,448.99472,408.20655,1.0788661,1.0450499,1.044548,1.0201486,0.88722554,0.88544248,0.83226738,0.74532728,0.67040597,0.63923014,0.00712028,0.006395368,0.016028356,0.014251246,0.017333912,0.006929661,0.01052555,0.011576723,0.012236072,0.015627754,14.194661,20.782149,12.367863,9.9046564,10.453624,21.541219,14.41351,16.723812,13.938241,11.315167,-2.1798039,-2.9464371,-2.3927346,-1.8895394,-2.1696188,-3.1404427,-2.6742576,-2.9767521,-2.5912856,-2.2758651,1
0.37954448,0.39983041,0.38788891,0.48963714,0.63308542,0.64185351,0.47303589,0.48967598,0.69300271,0.44096224,0.38322451,0.40160319,0.39305909,0.49373978,0.64445944,0.65329906,0.47486586,0.49992182,0.70511801,0.44137436,0.48718834,0.51333274,0.45202807,0.46854872,0.45434575,0.41257714,0.44437732,0.37273768,0.37345327,0.37952799,748.09758,713.63874,646.50847,598.07508,553.11214,539.30285,507.03384,491.12847,461.11495,375.4076,0.86535913,0.84519412,0.80445983,0.77374011,0.74408723,0.73473988,0.71241939,0.70115625,0.67939424,0.61301173,0.003778154,0.003893429,0.003958007,0.005950204,0.009644709,0.007533103,0.005938105,0.004602421,0.008706435,0.00585592,24.58386,22.046898,23.767586,14.655423,15.534615,21.75418,14.018678,23.702218,22.017814,13.745413,-0.16397663,0.17358732,-0.44449112,-1.2413879,-2.4352169,-3.3246424,-0.99207961,-2.5927364,-3.496098,-0.78865333,1
0.77254412,0.77961007,0.77841848,0.77522554,0.75302606,0.7661411,0.71769776,0.66892025,0.63883712,0.65740294,0.78307133,0.78582498,0.78438329,0.7816263,0.76285443,0.7666972,0.71063288,0.65942465,0.63076676,0.65047513,0.83251286,0.81859432,0.72197047,0.77684869,0.78769686,0.6851957,0.60997517,0.56165756,0.54381845,0.536137,1786.1456,1637.9892,1628.2972,1595.0109,1452.6215,1061.2376,727.42665,567.74004,501.40945,476.89449,1.3364676,1.2798395,1.2760475,1.2629374,1.2052475,1.0301639,0.85289311,0.75348526,0.70810271,0.69057548,0.012238858,0.012020736,0.008553037,0.009177096,0.011745723,0.011325235,0.012118997,0.013573976,0.016633025,0.018330316,18.797528,17.705365,28.588073,23.925595,17.524098,16.301377,11.164625,7.8688494,5.7843491,5.2613562,-3.0603236,-2.9652993,-4.0344638,-3.4194199,-2.8954209,-2.4691535,-1.7213374,-1.0860088,-0.76180083,-0.70560188,1
